Date,Project ID,Name,Points,Historical Download,Daily Download,Daily Unique Download,Daily Twitch App Download,Daily Curse Forge Download
2019-02-05,313368,Hearth Well,0,39,39,30,0,39
2019-02-06,313368,Hearth Well,0,120,81,62,9,72
2019-02-07,313368,Hearth Well,0,165,45,42,12,33
2019-02-08,313368,Hearth Well,0,203,38,34,16,22
2019-02-09,313368,Hearth Well,0,218,15,13,6,9
2019-02-10,313368,Hearth Well,0,230,12,11,4,8
2019-02-11,313368,Hearth Well,0,248,18,12,2,16
2019-02-12,313368,Hearth Well,0,277,29,26,7,22
2019-02-13,313368,Hearth Well,0,336,59,51,33,26
2019-02-14,313368,Hearth Well,0,359,23,19,15,8
2019-02-15,313368,Hearth Well,0,416,57,51,28,29
2019-02-16,313368,Hearth Well,0,442,26,25,16,10
2019-02-17,313368,Hearth Well,0,462,20,18,11,9
2019-02-18,313368,Hearth Well,0,523,61,50,27,34
2019-02-19,313368,Hearth Well,0,544,21,17,13,8
2019-02-20,313368,Hearth Well,0,562,18,16,13,5
2019-02-21,313368,Hearth Well,0,574,12,9,7,5
2019-02-22,313368,Hearth Well,0,586,12,12,8,4
2019-02-23,313368,Hearth Well,0,605,19,17,10,9
